price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,location,property_age_years,year_built,property_type,sale_date,local_market_index,comparable_sale_price,price_per_sqft,age_band,latitude,longitude,demand_index,growth_rate_zone,distance_to_school_km,distance_to_hospital_km,distance_to_supermarket_km,distance_to_transit_km,distance_to_park_km,location_convenience_score,nearest_school,nearest_hospital,nearest_supermarket,nearest_transit_station,nearest_park
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished,Mumbai,14,2012,Villa,2026-06-25,188.6,9317583.0,1792.45,6-15yrs,19.19434,72.90136,100.0,Stable,1.73,2.67,0.37,1.88,0.88,55.7,Bombay Scottish School,Lilavati Hospital,Nature Basket,Andheri Metro Station,Hanging Gardens
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished,Delhi NCR,17,2009,Villa,2025-06-22,172.2,7372050.0,1367.19,16-30yrs,28.67148,77.09009,76.5,Stable,0.93,2.29,1.36,1.01,2.54,52.2,Modern School,Fortis Escorts,Spencers Retail,Hauz Khas Metro Station,Nehru Park
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished,Mumbai,22,2004,Independent House,2025-04-24,187.8,7824091.0,1229.92,16-30yrs,19.0783,72.88913,100.0,Stable,0.75,0.57,0.72,0.76,1.72,73.4,St. Xaviers High School,Hinduja Hospital,DMart,Ghatkopar Metro Station,Joggers Park
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished,Mumbai,14,2012,Independent House,2025-07-25,187.5,9408000.0,1628.67,6-15yrs,19.10453,72.90882,100.0,Stable,1.33,0.99,1.14,0.95,1.45,65.5,Bombay Scottish School,Lilavati Hospital,Nature Basket,Andheri Metro Station,Hanging Gardens
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished,Mumbai,1,2025,Independent House,2025-06-01,184.0,9475083.0,1537.74,0-5yrs,19.02078,72.86503,92.2,Stable,2.47,1.62,0.29,1.06,0.62,64.4,Podar International School,Kokilaben Dhirubhai Ambani Hospital,Big Bazaar,Churchgate Railway Station,Sanjay Gandhi National Park
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished,Delhi NCR,12,2014,Independent House,2025-04-28,170.1,7575242.0,1446.67,6-15yrs,28.70424,77.15848,100.0,Stable,0.79,2.04,1.1,0.46,0.1,73.6,Amity International School,Max Super Speciality Hospital,DMart,Noida Sector 18 Metro,Deer Park
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,Mumbai,34,1992,Villa,2026-05-17,180.6,9580083.0,1182.98,31-45yrs,19.07594,72.81519,92.1,Stable,1.99,1.18,1.34,1.33,0.82,60.8,Bombay Scottish School,Lilavati Hospital,Nature Basket,Andheri Metro Station,Hanging Gardens
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished,Mumbai,33,1993,Independent House,2026-05-01,184.7,8260000.0,626.54,31-45yrs,18.95317,72.88221,79.5,Stable,1.76,0.7,0.1,1.37,0.99,71.1,Podar International School,Kokilaben Dhirubhai Ambani Hospital,Big Bazaar,Churchgate Railway Station,Sanjay Gandhi National Park
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished,Mumbai,1,2025,Independent House,2025-10-29,188.6,9603417.0,1218.52,0-5yrs,19.14724,72.81955,100.0,Stable,0.38,0.93,0.97,0.64,0.79,78.2,St. Xaviers High School,Hinduja Hospital,DMart,Ghatkopar Metro Station,Joggers Park
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished,Delhi NCR,2,2024,Independent House,2024-11-18,168.0,7609113.0,1704.35,0-5yrs,28.74613,77.02341,100.0,Stable,1.84,1.35,1.65,0.1,0.1,70.4,DPS R.K. Puram,AIIMS Delhi,Reliance Fresh,Rajiv Chowk Metro Station,Lodhi Garden
